	ON	OTU	Kingdom	Supergroup	Phylum	Class	Order	Family	Genus	Species
88	6	Otu00006	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Trebouxia	Trebouxia_asymmetrica
89	26	Otu00026	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Trebouxia	Trebouxia_jamesii
90	197	Otu00197	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Trebouxia	Trebouxia_jamesii
91	217	Otu00217	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Trebouxia	Trebouxia_asymmetrica
92	366	Otu00366	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Trebouxia	Trebouxia_sp
93	377	Otu00377	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Apatococcus	Apatococcus_lobatus
94	1	Otu00001	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Watanabeales	Watanabeaceae	Chloroidium	Chloroidium_ellipsoideum
95	98	Otu00098	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Watanabeales	Watanabeaceae	Chloroidium	Chloroidium_ellipsoideum
96	108	Otu00108	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Watanabeales	Watanabeaceae	Chloroidium	Chloroidium_engadinense
97	129	Otu00129	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Watanabeales	Watanabeaceae	Chloroidium	Chloroidium_ellipsoideum
98	177	Otu00177	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Watanabeales	Watanabeaceae	Chloroidium	Chloroidium_ellipsoideum
99	220	Otu00220	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Watanabeales	Watanabeaceae	Chloroidium	Chloroidium_engadinense
